date,sppg_name,location,region,victim_count,source,notes
2025-08-13,,"Kabupaten Sleman - SMP Muhammadiyah 1/3 Mlati, SMP Negeri 3 Mlati, SMP Pamungkas Mlati",DI Yogyakarta,379,Wikipedia,
2025-08-14,,Kabupaten Karawang - TBA,Jawa Barat,82,Wikipedia,
2025-08-20,,Kabupaten Cianjur - Pondok Pesantren Darul Quran,Jawa Barat,12,Wikipedia,
2025-08-21,,Kabupaten Bandung - SD Negeri Legok Hayam,Jawa Barat,12,Wikipedia,
2025-08-22,,Kabupaten Sukabumi - SDN 02 Parakansalak,Jawa Barat,24,Wikipedia,
2025-08-22,,Kabupaten Indramayu - TBA,Jawa Barat,2,Wikipedia,
2025-08-22,SPPG Indragiri Hilir Tembilahan Hilir,Indragiri Hilir,Riau,28,Kompas (rekap BGN),
2025-08-26,SPPG Tulang Bawang Mataram Baru,Tulang Bawang,Lampung,27,Kompas (rekap BGN),
2025-08-27,SPPG Bengkulu Lebong Sakti Lemeu Pit,Lebong,Bengkulu,467,Kompas (rekap BGN),Tempo melaporkan 427 korban -- ada selisih kecil antar sumber
2025-08-27,,Kabupaten Sleman - SMPN 3 Berbah,DI Yogyakarta,135,Wikipedia,Plus 2 Guru
2025-08-28,SPPG Kota Palu Selatan Tatura Utara,Palu Selatan,Sulawesi Tengah,20,Kompas (rekap BGN),
2025-08-29,,Jakarta Selatan - TBA,DKI Jakarta,3,Wikipedia,
2025-09-02,SPPG Menang Raya Pedamanran,Pedamanran,Sumatera Selatan,76,Kompas (rekap BGN),
2025-09-02,,Kabupaten Serang - SMPN 1 Kramatwatu,Banten,27,Wikipedia,
2025-09-03,SPPG Lombok Tengah Pringgarata Murbaya,Lombok Tengah,Nusa Tenggara Barat,65,Kompas (rekap BGN),
2025-09-03,,Kabupaten Gunungkidul - MTsN Wonosari,DI Yogyakarta,5,Wikipedia,
2025-09-03,,Kabupaten Cianjur - MTs Islamiyah Sayang,Jawa Barat,9,Wikipedia,
2025-09-04,,Kabupaten Situbondo - SMAN 1 Panji,Jawa Timur,232,Wikipedia,
2025-09-08,,"Jakarta Utara - TBA, SMPN 277 Jakarta, Kelurahan Lagoa",DKI Jakarta,14,Wikipedia,
2025-09-09,,"Kabupaten Pamekasan - Lembaga Pendidikan Al-Falah, Lembaga Pendidikan Al-Amin",Jawa Timur,37,Wikipedia,
2025-09-10,,Kabupaten Klaten - Siswa SD,Jawa Tengah,105,Wikipedia,
2025-09-11,,Kabupaten Wonogiri - Madrasah Ibtidaiyah Negeri Wonogiri,Jawa Tengah,23,Wikipedia,
2025-09-11,,Kabupaten Sukabumi - SMKN 1 Cibadak,Jawa Barat,69,Wikipedia,
2025-09-11,,"Kabupaten Cianjur - SDN Salakawung, SMP Budi Luhur",Jawa Barat,36,Wikipedia,
2025-09-12,,Kabupaten Wonogiri - SMAN 2 Wonogiri,Jawa Tengah,110,Wikipedia,
2025-09-15,,"Kabupaten Gunungkidul - SDN Sumberejo, SMPN 2 Semin, SMPS Budi Mulia Semin",DI Yogyakarta,19,Wikipedia,
2025-09-15,,Kota Tangerang Selatan - SD,Banten,50,Wikipedia,TBA
2025-09-16,SPPG Al Bayyinah,Kadungora Garut,Jawa Barat,657,Tempo,Dapur SPPG ditutup sementara pasca insiden
2025-09-17,,Kabupaten Pamekasan - SDN Pasanggar 1 Pegantenan,Jawa Timur,8,Wikipedia,
2025-09-17,,"Kabupaten Garut - SDN 2 Mandalasari, SMP Siti Aisyah, MA Siti Aisyah, MA Maarif Cilageni, SMA Siti Aisyah",Jawa Barat,657,Wikipedia,
2025-09-17,SPPG Banggai Kepulauan Tingangkung,Banggai Kepulauan,Sulawesi Tengah,339,Kompas (rekap BGN),Disebabkan supplier ikan cakalang baru
2025-09-17,,Kabupaten Lamongan - SMAN 2 Lamongan,Jawa Timur,18,Wikipedia,
2025-09-18,,"Kabupaten Tasikmalaya - SD Cikalong 1, PAUD di Cikalong",Jawa Barat,52,Wikipedia,
2025-09-22,,"Kabupaten Bandung Barat - SD Negeri Cipari, MTs Darul Fiqri, SMK Pembangunan Bandung Barat",Jawa Barat,1333,Wikipedia,
2025-09-22,,"Kabupaten Banyumas - TK, SDN Kediri, SDN Pangebatan",Jawa Tengah,408,Wikipedia,
2025-09-22,,Kota Salatiga - MAN Kota Salatiga,Jawa Tengah,7,Wikipedia,
2025-09-23,,"Kabupaten Jepara - TK Melati Banjaran, Kelompok Bermain Darul Karomah Srikandang, MI Matholiul Huda Srikandang, SDN 1 Banjaran",Jawa Tengah,35,Wikipedia,
2025-09-23,,Jakarta Selatan - SMAN 15 Jakarta,DKI Jakarta,7,Wikipedia,
2025-09-24,,"Kabupaten Bandung Barat - TK Nurul Saadah, SMP Ciparai, SMK Karya Perjuangan, MTs Manarul Huda, SDN 1 Cihampelas, MTs Al Mukhtariyah, SMKN 1 Cihampelas, MA Al Mukhtariyah",Jawa Barat,1333,Wikipedia,
2025-09-24,,Kabupaten Rembang - SMPN 1 Kragan,Jawa Tengah,173,Wikipedia,
2025-09-24,,Kabupaten Bojonegoro - SDN Semanding,Jawa Timur,7,Wikipedia,
2025-09-24,,Kabupaten Sukabumi - SMK Doa Bangsa,Jawa Barat,32,Wikipedia,
2025-09-24,,Kabupaten Tuban - SMKN 1 Palang,Jawa Timur,6,Wikipedia,
2025-09-25,,Kabupaten Cianjur - SDN Taruna Bakti,Jawa Barat,30,Wikipedia,
2025-09-25,,"Kota Batu - SMPN 1 Kota Batu, SMAN 1 Kota Batu",Jawa Timur,12,Wikipedia,
2025-09-25,,Jakarta Timur - SDN 07 Pulogebang,DKI Jakarta,6,Wikipedia,
2025-09-25,,Kabupaten Subang - SD Rawalele,Jawa Barat,11,Wikipedia,
2025-09-25,,"Kabupaten Kebumen - SDN Tegalretno, Madrasah Wathoniyah Islamiyah",Jawa Tengah,176,Wikipedia,
2025-09-25,,"Kabupaten Sumedang - SMK Win Ujungjaya, SMK Rimba Bahari Situraja, SMA Negeri 1 Tomo",Jawa Barat,164,Wikipedia,
2025-09-26,,Kabupaten Jember - SDN 05 Sidomekar,Jawa Timur,16,Wikipedia,
2025-09-26,,Kabupaten Bogor - SMPN 1 Jonggol,Jawa Barat,4,Wikipedia,
2025-09-29,,Kabupaten Banyumas - SD 1-2-3 Sudagaran,Jawa Tengah,94,Wikipedia,
2025-09-29,,Kabupaten Aceh Utara - SDN 6 Matangkuli,Nanggroe Aceh Darussalam,3,Wikipedia,
2025-09-29,,Kabupaten Ciamis - SMPN 4 Pamarican,Jawa Barat,52,Wikipedia,
2025-09-30,,Kabupaten Temanggung - SMAN 2-3 Temanggung,Jawa Tengah,414,Wikipedia,
2025-09-30,,Kabupaten Semarang - SDN 01 Ungaran,Jawa Tengah,20,Wikipedia,
2025-09-30,,Jakarta Timur - SDN 01 Gedong,DKI Jakarta,22,Wikipedia,
2025-09-30,,"Kabupaten Garut - SDN 3 Talagasari, SMPN 1 Kadungora, SMP PGRI Kadungora, SMA Annisa Kadungora",Jawa Barat,307,Wikipedia,
2025-10-01,,Kabupaten Bojonegoro - SMAN 1 Kedungadem,Jawa Timur,544,Wikipedia,
2025-10-01,,Kabupaten Pangandaran - MI Attarbiyah Leuwiliang,Jawa Barat,8,Wikipedia,
2025-10-01,,Kabupaten Bogor - SDN 02 Pasir Angin,Jawa Barat,3,Wikipedia,
2025-10-01,,"Kabupaten Ngawi - SMK Negeri 1 Sine, MTs Muhammadiyah Sine",Jawa Timur,51,Wikipedia,
2025-10-01,,Kota Banjar - SMPN 3 Banjar,Jawa Barat,79,Wikipedia,
2025-10-02,,Kota Bekasi - SDN Kota Baru 3 Bekasi,Jawa Barat,6,Wikipedia,
2025-10-02,,"Kabupaten Tasikmalaya - SMK Negeri Cipatujah, SMP Negeri 4, Pondok Pesantren Nursyamsiah",Jawa Barat,115,Wikipedia,
2025-10-02,,"Kabupaten Bojonegoro - SD Negeri Tumbrasanom, MTs Plus Nabawi",Jawa Timur,7,Wikipedia,
2025-10-02,,"Kabupaten Ngawi - Belum Selesai SMKN 1, 5 Siswi MTs",Jawa Timur,5,Wikipedia,
2025-10-03,,Kota Salatiga - SMP Negeri 8 Salatiga,Jawa Tengah,192,Wikipedia,
2025-10-03,,"Kabupaten Purworejo - SMPN 8 Purworejo, SMAN 3 Purworejo",Jawa Tengah,134,Wikipedia,
2025-10-03,,"Kabupaten Kuningan - SMP 1 Luragung, SMAN 1 Luragung",Jawa Barat,200,Wikipedia,
2025-10-03,,Kabupaten Karanganyar - TBA,Jawa Tengah,168,Wikipedia,
2025-10-03,,Kabupaten Ciamis - SDN 1 Sindang Sari,Jawa Barat,10,Wikipedia,
2025-10-03,,Kabupaten Gunungkidul - SD Negeri 03 Piyaman,DI Yogyakarta,6,Wikipedia,
2025-10-06,,Kota Salatiga - TBA,Jawa Tengah,12,Wikipedia,
2025-10-08,,Kabupaten Klaten - SMPN 1 Wedi,Jawa Tengah,49,Wikipedia,
2025-10-09,,"Kabupaten Karanganyar - TK Nglebak 1-2, SD Negeri 2 Nglebak, SDN 3 Ngeblak, SMP Negeri 1 Tawangmangu",Jawa Tengah,105,Wikipedia,
2025-10-09,,Kabupaten Cianjur - Yayasan Raudhatul Muttaqin,Jawa Barat,16,Wikipedia,
2025-10-13,,Kabupaten Tasikmalaya - Posyandu Daerah Manonjaya,Jawa Barat,11,Wikipedia,Balita: 11
2025-10-13,,"Kabupaten Tulungagung - SDN 1 Tanggung, SMPN 1 Boyolangu",Jawa Timur,68,Wikipedia,
2025-10-13,,Kabupaten Karanganyar - SMPN 1 Colomadu,Jawa Tengah,17,Wikipedia,
2025-10-14,,Kabupaten Bandung Barat - SMPN 1 Cisarua,Jawa Barat,518,Wikipedia,
2025-10-14,,Kabupaten Tuban - SMKN Tambakboyo,Jawa Timur,8,Wikipedia,
2025-10-15,,"Kabupaten Toba - SD Tanding Laguboti, SMPN 1 Laguboti",Sumatera Utara,121,Wikipedia,
2025-10-15,,"Kabupaten Bandung Barat - SDN 1 Garuda, SD 1 Barukai, SMKN 1 Cisarua, SMP Karya Prestasi Mandiri, SMK Widya Karya, pesantren Bani Sulaiman",Jawa Barat,518,Wikipedia,
2025-10-15,,Kabupaten Karanganyar - SMPN 1 Karanganyar,Jawa Tengah,300,Wikipedia,Ratusan siswa
2025-10-15,,"Kota Yogyakarta - SMAN 1 Yogyakarta, SMA Muhammadiyah 7 Yogyakarta",DI Yogyakarta,426,Wikipedia,
2025-10-15,,Kabupaten Pamekasan - SDN Toronan 1,Jawa Timur,9,Wikipedia,
2025-10-16,,Kabupaten Bogor - SDN Ciangsana 02 Bogor,Jawa Barat,7,Wikipedia,
2025-10-17,,"Kabupaten Magetan - SDN 2 Kediren, MI Nurul Dholam",Jawa Timur,12,Wikipedia,
2025-10-17,,Kabupaten Tasikmalaya - SDN Margamulya,Jawa Barat,13,Wikipedia,
2025-10-22,,Kota Cirebon - SDN Kesenden,Jawa Barat,13,Wikipedia,
2025-10-23,,Kabupaten Malang - MTs Al-Khalifah,Jawa Timur,38,Wikipedia,
2025-10-23,,Kabupaten Banyuwangi - MAN 1 Banyuwangi,Jawa Timur,112,Wikipedia,
2025-10-23,,Kabupaten Bandung Barat - SMPN 1 Lembang,Jawa Barat,30,Wikipedia,
2025-10-24,,"Kabupaten Sleman - SD Jombor Lor, SMP Negeri 2 Mlati, MAN 3 Yogyakarta",DI Yogyakarta,300,Wikipedia,
2025-10-28,,"Kabupaten Gunungkidul - SMPN 1 Saptosari, SMKN 1 Saptosari",DI Yogyakarta,695,Wikipedia,
2025-10-28,,"Kabupaten Bandung Barat - SDN 1/2 Cibodas, SDN 1 Sutenjaya, SDN Buahbatu, SMPN 4 Lembang, SMK Putra Nasional Cibodas",Jawa Barat,236,Wikipedia,
2025-10-29,,"Kabupaten Banyuwangi - SMPN 3 Kalipuro, MA Nurul Khairoh, SMA NU Gombengsari",Jawa Timur,133,Wikipedia,
2025-10-29,,"Kabupaten Gunungkidul - SD Sumbergiri, SDN Mendak 1, SMPN 1 Ponjong, SMA Pembangunan 3 Ponjong, SMK Ma'Arif, SMK Muhammadiyah",DI Yogyakarta,121,Wikipedia,
2025-10-29,,Jakarta Barat - SDN Meruya Selatan 01,DKI Jakarta,20,Wikipedia,
2025-10-31,,Kabupaten Nias Utara - SD 071027 Onozitoli Sawo,Sumatera Utara,26,Wikipedia,
2025-10-31,,"Kabupaten Bantul - SD 2 Bakulan, SMPN 1 Jetis, SMPN 3 Jetis, SMP Muhammadiyah Pulokasang, SMAN 1 Jetis",DI Yogyakarta,237,Wikipedia,
2025-10-31,,Kabupaten Batang - SMK Kandeman,Jawa Tengah,800,Wikipedia,
2025-11-03,,Kabupaten Gunungkidul - TBA,DI Yogyakarta,547,Wikipedia,
2025-11-04,,Kabupaten Cirebon - SDN 2 Setu Wetan,Jawa Barat,20,Wikipedia,
2025-11-06,,"Kabupaten Pamekasan - MTS Al-Ula, MA Al Islamiyah Blumbungan",Jawa Timur,17,Wikipedia,
2025-11-11,,Kabupaten Bandung Barat - SMP Bina Karya,Jawa Barat,21,Wikipedia,
2025-11-14,,"Kota Bogor - SDN 2/3 Batu Tulis, SD Lawang Gintung, SMK PUI",Jawa Barat,50,Wikipedia,
2025-11-17,,Kota Sukabumi - MI Al Ihsan,Jawa Barat,28,Wikipedia,
2025-11-18,,Kabupaten Magelang - Pondok Pesatren Nurul Ali,Jawa Tengah,112,Wikipedia,
2025-11-26,,"Kabupaten Blora - SMPN 1 Blora, SMP Katolik Blora, SMP Kristen Blora",Jawa Tengah,810,Wikipedia,
2025-11-26,,"Kabupaten Ngawi - SDN 2-6 Jenggrik, SDN 5 Gemarang, SMPN 2 Kedunggalar, SMAN 1 Kedunggalar",Jawa Timur,87,Wikipedia,
2025-11-27,,"Kabupaten Madiun - SDN Klecorejo, SDN 1 Darmorejo, SDN 2 Kebonagung",Jawa Timur,49,Wikipedia,
2025-11-28,,Kabupaten Kuningan - TBA,Jawa Barat,74,Wikipedia,
2025-11-28,,Kabupaten Bojonegoro - Pondok Pesantren Al Falah,Jawa Timur,30,Wikipedia,
2025-12-03,,"Kabupaten Bondowoso - SDN 1-2 Sukorejo, SMP, SMA",Jawa Timur,77,Wikipedia,
2025-12-04,,"Kabupaten Ngawi - Ponpes Absoru Sunah, Ponpes Miftahul Janah, SDN 2-3-5 Mantingan, SD",Jawa Timur,220,Wikipedia,
2025-12-04,,Kabupaten Majalengka - TBA,Jawa Barat,42,Wikipedia,
2025-12-11,,Kabupaten Grobogan - Desa Putatsari,Jawa Tengah,23,Wikipedia,
2026-01-08,,Kota Semarang - SMKN 11 Semarang,Jawa Tengah,75,Wikipedia,
2026-01-10,,"Kabupaten Grobogan - TK Ngroto, SDN Trisari, SDN Glapan, SDN Penadaran, SMP Miftahul Huda, SMK Miftahul Huda",Jawa Tengah,803,Wikipedia,
2026-01-10,,"Kabupaten Mojokerto - Ponpes An-Nur, Ponpes Al-Hidayah, SMPN 2 Kutorejo",Jawa Timur,780,Wikipedia,
2026-01-12,,Kabupaten Wonogiri - TBA,Jawa Tengah,206,Wikipedia,
2026-01-13,,Kabupaten Pekalongan - SDN 01 Kedungwuni,Jawa Tengah,15,Wikipedia,
2026-01-15,,"Kota Mojokerto - SDN 5-6 Wates, SMAN 2 Mojokerto",Jawa Timur,50,Wikipedia,TBA Spesifik
2026-01-20,,Kabupaten Tulungagung - SMKN 3 Boyolangu,Jawa Timur,123,Wikipedia,
2026-01-20,,"Kabupaten Kulon Progo - PAUD, TK, SD",DI Yogyakarta,104,Wikipedia,
2026-01-22,,Kota Magelang - SMPN 10 Kota Magelang,Jawa Tengah,75,Wikipedia,Plus 5 Guru
2026-01-22,,Kabupaten Tulungagung - SMK Sore Tulungagung,Jawa Timur,15,Wikipedia,
2026-01-23,,Kabupaten Gunungkidul - SMP Muhammadiyah Playen,DI Yogyakarta,48,Wikipedia,"Plus 9 Guru, 1 Kepala Sekolah"
2026-01-24,,Kabupaten Aceh Timur - TBA,Nanggroe Aceh Darussalam,19,Wikipedia,
2026-01-27,,Kabupaten Tuban - SMPN 1 Montong,Jawa Timur,14,Wikipedia,
2026-01-27,,Kabupaten Cianjur - SDN Wargasari,Jawa Barat,300,Wikipedia,
2026-01-28,,"Kabupaten Sukabumi - PAUD Al Hadi, SDN Bojong Kopo, Gunung Biru, Loji, Sangrawayang, Cibutun, MA",Jawa Barat,31,Wikipedia,
2026-01-29,,Kabupaten Kudus - SMAN 2 Kudus,Jawa Tengah,600,Wikipedia,
2026-01-30,,"Kabupaten Grobogan - SDN 2 Pulongrambe, SDN 3 Mayahan",Jawa Tengah,8,Wikipedia,
2026-02-02,,Kota Surabaya - SDN 1 Babat Jerawat,Jawa Timur,27,Wikipedia,
2026-02-05,,Kabupaten Jember - SMP Negeri 1 Umbulsari,Jawa Timur,112,Wikipedia,
2026-02-05,,"Kabupaten Trenggalek - SD, SMP",Jawa Timur,157,Wikipedia,
2026-02-06,,Kabupaten Wonosobo - SD Negeri 1 Kapulogo,Jawa Tengah,26,Wikipedia,
2026-02-09,,"Kabupaten Dairi - SMK Swasta HKBP Sidikalang, SMK Swasta Arina Sidikalang",Sumatera Utara,271,Wikipedia,
2026-02-09,,Kabupaten Pati - SMKN 4 Pati,Jawa Tengah,22,Wikipedia,
2026-02-10,,Kabupaten Tulungagung - SDN 3 Bungur,Jawa Timur,24,Wikipedia,
2026-02-11,,"Kabupaten Aceh Singkil - TK Bunga Al-Qur'an, Pesantren Modern Darul Mustafa",Nanggroe Aceh Darussalam,33,Wikipedia,
2026-02-11,,Kabupaten Malang - MI Al Maarif 9,Jawa Timur,9,Wikipedia,
2026-02-13,,Kabupaten Ngawi - Ponpes Al hijrah,Jawa Timur,67,Wikipedia,
2026-02-23,,Kota Tegal - SMP PIUS,Jawa Tengah,3,Wikipedia,
2026-02-24,,Kabupaten Nias Selatan - SDN 071123,Sumatera Utara,35,Wikipedia,
2026-02-25,,"Kota Cimahi - TK PGRI, TK Kartika, SDN Cimahi Mandiri 4, SDN Karangmekar 5, SMPN 6 Cimahi",Jawa Barat,46,Wikipedia,
2026-02-26,,"Kabupaten Aceh Selatan - PAUD, SMA",Nanggroe Aceh Darussalam,18,Wikipedia,
2026-02-26,,Kabupaten Bireuen - warga Simpang Mamplam dan Pandrah,Nanggroe Aceh Darussalam,140,Wikipedia,
2026-03-05,,Kabupaten Jombang - Ponpes Sholawat Darut Taubah,Jawa Timur,31,Wikipedia,
2026-03-06,,Kabupaten Sukabumi - Ponpes Az-Zain,Jawa Barat,47,Wikipedia,
2026-03-10,,Kabupaten Cirebon - SMAN 1 Jamblang,Jawa Barat,1,Wikipedia,
2026-03-12,,Kabupaten Pemalang - TK,Jawa Tengah,1,Wikipedia,
2026-04-01,,Jakarta Pusat - SMPN 71 Jakarta Pusat,DKI Jakarta,48,Wikipedia,
2026-04-01,,"Kabupaten Humbang Hasundutan - SMPN 016 Nagasaribu, SMA Negeri 3 Lintongnihuta",Sumatera Utara,18,Wikipedia,
2026-04-02,,Kabupaten Bantul - 6 SD,DI Yogyakarta,156,Wikipedia,
2026-04-03,,"Jakarta Timur - SDN Pondok Kelapa 1, 7, 9, SMAN 91 Jakarta",DKI Jakarta,135,Wikipedia,
2026-04-06,,Kabupaten Bogor - Warga Tanjung Sari,Jawa Barat,107,Wikipedia,
2026-04-07,,Kabupaten Nganjuk - SDN Mojokendil,Jawa Timur,50,Wikipedia,Puluhan Siswa
2026-04-08,,Kabupaten Klaten - SMKN 1 Klaten,Jawa Tengah,10,Wikipedia,
2026-04-08,,"Kota Tangerang - TK, SMK Farmasi, Pesantren WH Tahfidz",Banten,100,Wikipedia,
2026-04-08,,Kabupaten Tasikmalaya - SMAN 1 Cisayong,Jawa Barat,119,Wikipedia,
2026-04-08,,"Kabupaten Bantul - SDN Monggang, SD Negeri Kategan",DI Yogyakarta,19,Wikipedia,
2026-04-09,,"Kabupaten Mojokerto - TK Kartika, SDN Randubango, MI Mi'rojul Ulum, SMK PGRI Mojosari, SMA PGRI Mojosari",Jawa Timur,79,Wikipedia,
2026-04-09,,"Kabupaten Pacitan - TK, SD, SMP",Jawa Timur,158,Wikipedia,
2026-04-10,,Kabupaten Klaten - SMPN 1 Kalikotes,Jawa Tengah,81,Wikipedia,
2026-04-13,,"Kabupaten Bantul - SMPN 3 Jetis, SMP Muhammadiyah",DI Yogyakarta,80,Wikipedia,
2026-04-15,,"Kabupaten Bojonegoro - TK, SD, Ibu Hamil",Jawa Timur,17,Wikipedia,
2026-04-16,,Kota Madiun - SDN 1 Demangan,Jawa Timur,18,Wikipedia,
2026-04-16,,Kota Cilegon - MTs Al-Inayah,Banten,49,Wikipedia,
2026-04-17,,"Kabupaten Karawang - Balita, Ibu Menyusui",Jawa Barat,46,Wikipedia,
2026-04-17,,"Kabupaten Cianjur - Desa Sukasirna, Desa Purabaya",Jawa Barat,134,Wikipedia,Meninggal: 1 Orang
2026-04-18,,"Kabupaten Demak - Ponpes Bustanul Qur'an, Ponpes Asnawiyah, Ponpes Hidayatul Mubdtadiin, Ponpes Al Ma'arif, Ponpes Nurul Sakinah, MI Yosua",Jawa Tengah,189,Wikipedia,
2026-04-20,,Kabupaten Bangkalan - SMPN 1 Blega,Jawa Timur,2,Wikipedia,Plus 1 Guru
2026-04-20,,Kota Cilegon - SDN Cikerai 2,Banten,19,Wikipedia,
2026-04-21,,Kabupaten Rembang - SDN Balongmulyo,Jawa Tengah,22,Wikipedia,
2026-04-22,,Kabupaten Sampang - SDN Bira Tengah 1,Jawa Timur,19,Wikipedia,
2026-04-22,,Kota Cilegon - SMP PGRI Citangkil,Banten,11,Wikipedia,
2026-04-22,,"Kota Kediri - SDN Ketami 1-2, SDN Tempurejo 1",Jawa Timur,73,Wikipedia,
2026-04-27,,"Kabupaten Kediri - TK, SD",Jawa Timur,6,Wikipedia,
2026-04-28,,Kabupaten Klaten - SMPN 1 Tulung,Jawa Tengah,584,Wikipedia,Plus Guru
2026-04-28,,Kabupaten Deli Serdang - SD swasta terpadu As Syifa,Sumatera Utara,11,Wikipedia,
2026-04-29,,Kabupaten Tangerang - TBA,Banten,33,Wikipedia,
2026-04-29,,Kabupaten Cilacap - Ponpes putri Kelurahan Gumilir,Jawa Tengah,100,Wikipedia,
2026-05-06,,Kabupaten Bantul - SDN Kowang,DI Yogyakarta,23,Wikipedia,
2026-05-06,,Kabupaten Wonogiri - SMKN 1 Jatiroto,Jawa Tengah,235,Wikipedia,Plus 7 Guru
2026-05-08,,"Jakarta Timur - SDN Cakung Timur 01, SDN Ujung Menteng 02, 03",DKI Jakarta,252,Wikipedia,
2026-05-11,,"Kota Surabaya - TK Ubaid, TK Aletheia, SD Tembok Dukuh 1,3,4, SD Aletheia, SD Pancasila 45, SD Raden Wijaya, SD Ubaid 1-2, SMP Aletheia, SMP Islam, RW X Demak Jaya (warga)",Jawa Timur,210,Wikipedia,
2026-05-13,,Kabupaten Cianjur - SD Negeri Ciadeg,Jawa Barat,19,Wikipedia,
2026-05-18,,Kabupaten Temanggung - SMP Negeri 4 Temanggung + 7 Sekolah Lainnya,Jawa Tengah,323,Wikipedia,
2026-05-20,,"Kabupaten Jember - PAUD Qur'an Raudlatul Tulab, TK Al-Hidayah 01, RA Hidayatul Mubtadiin, PAUD Aster 29, TK Kuncup Bunga",Jawa Timur,25,Wikipedia,
2026-05-21,,Kabupaten Gresik - SDN 238 Menganti,Jawa Timur,14,Wikipedia,
2026-05-21,,Kabupaten Garut - SD Negeri 2 Hegarsari,Jawa Barat,57,Wikipedia,
2026-05-22,,Jakarta Barat - SMPN 82 Jakarta,DKI Jakarta,116,Wikipedia,
2026-05-24,,Kabupaten Serang - SMAN 1 Padarincang,Banten,32,Wikipedia,
2026-05-29,,"Kabupaten Majalengka - SMP, SMA",Jawa Barat,22,Wikipedia,
2026-06-04,,Kabupaten Bangkalan - SMAN 1 Kokop,Jawa Timur,84,Wikipedia,
